algorithm,scenario,service,users,column,start_time,end_time,avg_cpu_usage,avg_memory_usage,execution_time
BIRCH,scenario_A,front-end,100,front-end_energy,2024-08-16 11:13:02.663000,2024-08-16 11:13:03.748534,1.5,501.44921875,0 days 00:00:01.085534
iforest,scenario_A,front-end,100,front-end_energy,2024-08-16 11:13:03.991008,2024-08-16 11:13:05.089955,0.0,501.9375,0 days 00:00:01.098947
knn,scenario_A,front-end,100,front-end_energy,2024-08-16 11:13:05.393556,2024-08-16 11:13:06.554930,0.0,500.52734375,0 days 00:00:01.161374
lof,scenario_A,front-end,100,front-end_energy,2024-08-16 11:13:06.814443,2024-08-16 11:13:07.889619,0.0,500.80859375,0 days 00:00:01.075176
svm,scenario_A,front-end,100,front-end_energy,2024-08-16 11:13:08.088791,2024-08-16 11:13:09.553797,0.0,500.78125,0 days 00:00:01.465006
BIRCH,scenario_A,front-end,100,orders_energy,2024-08-16 11:13:09.554797,2024-08-16 11:13:10.587905,0.0,500.78125,0 days 00:00:01.033108
iforest,scenario_A,front-end,100,orders_energy,2024-08-16 11:13:11.001074,2024-08-16 11:13:12.102968,0.0,502.796875,0 days 00:00:01.101894
knn,scenario_A,front-end,100,orders_energy,2024-08-16 11:13:12.269144,2024-08-16 11:13:13.548727,0.0,501.4140625,0 days 00:00:01.279583
lof,scenario_A,front-end,100,orders_energy,2024-08-16 11:13:13.731994,2024-08-16 11:13:14.830451,0.0,501.6953125,0 days 00:00:01.098457
svm,scenario_A,front-end,100,orders_energy,2024-08-16 11:13:15.097271,2024-08-16 11:13:16.479620,0.0,501.4453125,0 days 00:00:01.382349
BIRCH,scenario_A,front-end,100,orders-db_energy,2024-08-16 11:13:16.479620,2024-08-16 11:13:17.512645,1.5,501.4453125,0 days 00:00:01.033025
iforest,scenario_A,front-end,100,orders-db_energy,2024-08-16 11:13:17.752547,2024-08-16 11:13:18.845012,0.0,503.01953125,0 days 00:00:01.092465
knn,scenario_A,front-end,100,orders-db_energy,2024-08-16 11:13:19.034944,2024-08-16 11:13:20.192446,0.0,501.61328125,0 days 00:00:01.157502
lof,scenario_A,front-end,100,orders-db_energy,2024-08-16 11:13:20.477037,2024-08-16 11:13:21.566147,0.0,501.76953125,0 days 00:00:01.089110
svm,scenario_A,front-end,100,orders-db_energy,2024-08-16 11:13:21.757500,2024-08-16 11:13:23.173718,1.5,501.48828125,0 days 00:00:01.416218
BIRCH,scenario_A,front-end,100,payment_energy,2024-08-16 11:13:23.173718,2024-08-16 11:13:24.206172,0.0,501.48828125,0 days 00:00:01.032454
iforest,scenario_A,front-end,100,payment_energy,2024-08-16 11:13:24.425208,2024-08-16 11:13:25.509562,0.0,502.9140625,0 days 00:00:01.084354
knn,scenario_A,front-end,100,payment_energy,2024-08-16 11:13:25.687803,2024-08-16 11:13:26.869484,0.0,501.69140625,0 days 00:00:01.181681
lof,scenario_A,front-end,100,payment_energy,2024-08-16 11:13:27.185933,2024-08-16 11:13:28.270006,1.6,501.97265625,0 days 00:00:01.084073
svm,scenario_A,front-end,100,payment_energy,2024-08-16 11:13:28.436908,2024-08-16 11:13:29.900103,1.5,501.69140625,0 days 00:00:01.463195
BIRCH,scenario_A,front-end,100,queue-master_energy,2024-08-16 11:13:29.916086,2024-08-16 11:13:30.933114,0.0,501.69140625,0 days 00:00:01.017028
iforest,scenario_A,front-end,100,queue-master_energy,2024-08-16 11:13:31.152908,2024-08-16 11:13:32.264420,0.0,502.75390625,0 days 00:00:01.111512
knn,scenario_A,front-end,100,queue-master_energy,2024-08-16 11:13:32.752734,2024-08-16 11:13:33.914436,0.0,501.7578125,0 days 00:00:01.161702
lof,scenario_A,front-end,100,queue-master_energy,2024-08-16 11:13:34.202700,2024-08-16 11:13:35.274385,0.0,502.0390625,0 days 00:00:01.071685
svm,scenario_A,front-end,100,queue-master_energy,2024-08-16 11:13:35.445285,2024-08-16 11:13:36.876806,0.0,501.80078125,0 days 00:00:01.431521
BIRCH,scenario_A,front-end,100,rabbitmq_energy,2024-08-16 11:13:36.876806,2024-08-16 11:13:37.946543,0.0,501.80078125,0 days 00:00:01.069737
iforest,scenario_A,front-end,100,rabbitmq_energy,2024-08-16 11:13:38.209098,2024-08-16 11:13:39.313835,0.0,502.921875,0 days 00:00:01.104737
knn,scenario_A,front-end,100,rabbitmq_energy,2024-08-16 11:13:39.491659,2024-08-16 11:13:40.656715,0.0,501.92578125,0 days 00:00:01.165056
lof,scenario_A,front-end,100,rabbitmq_energy,2024-08-16 11:13:40.913924,2024-08-16 11:13:41.993831,0.0,502.20703125,0 days 00:00:01.079907
svm,scenario_A,front-end,100,rabbitmq_energy,2024-08-16 11:13:42.155153,2024-08-16 11:13:43.625635,0.0,501.92578125,0 days 00:00:01.470482
BIRCH,scenario_A,front-end,100,shipping_energy,2024-08-16 11:13:43.637136,2024-08-16 11:13:44.669632,0.0,501.94140625,0 days 00:00:01.032496
iforest,scenario_A,front-end,100,shipping_energy,2024-08-16 11:13:44.886588,2024-08-16 11:13:45.973920,0.0,503.01171875,0 days 00:00:01.087332
knn,scenario_A,front-end,100,shipping_energy,2024-08-16 11:13:46.133980,2024-08-16 11:13:47.451110,0.0,502.36328125,0 days 00:00:01.317130
lof,scenario_A,front-end,100,shipping_energy,2024-08-16 11:13:47.620689,2024-08-16 11:13:48.697330,0.0,502.51953125,0 days 00:00:01.076641
svm,scenario_A,front-end,100,shipping_energy,2024-08-16 11:13:48.888134,2024-08-16 11:13:50.317905,0.0,502.24609375,0 days 00:00:01.429771
BIRCH,scenario_A,front-end,100,user_energy,2024-08-16 11:13:50.317905,2024-08-16 11:13:51.347092,0.0,502.24609375,0 days 00:00:01.029187
iforest,scenario_A,front-end,100,user_energy,2024-08-16 11:13:51.563051,2024-08-16 11:13:52.661854,0.0,503.8984375,0 days 00:00:01.098803
knn,scenario_A,front-end,100,user_energy,2024-08-16 11:13:52.836887,2024-08-16 11:13:53.993717,0.0,502.4375,0 days 00:00:01.156830
lof,scenario_A,front-end,100,user_energy,2024-08-16 11:13:54.294064,2024-08-16 11:13:55.372618,0.0,502.71875,0 days 00:00:01.078554
svm,scenario_A,front-end,100,user_energy,2024-08-16 11:13:55.525958,2024-08-16 11:13:56.955871,0.0,502.45703125,0 days 00:00:01.429913
BIRCH,scenario_A,front-end,100,user-db_energy,2024-08-16 11:13:56.958133,2024-08-16 11:13:57.975457,0.0,502.45703125,0 days 00:00:01.017324
iforest,scenario_A,front-end,100,user-db_energy,2024-08-16 11:13:58.225746,2024-08-16 11:13:59.309942,0.0,503.72265625,0 days 00:00:01.084196
knn,scenario_A,front-end,100,user-db_energy,2024-08-16 11:13:59.471874,2024-08-16 11:14:00.604711,0.0,502.25,0 days 00:00:01.132837
lof,scenario_A,front-end,100,user-db_energy,2024-08-16 11:14:00.909384,2024-08-16 11:14:01.981332,0.0,502.53125,0 days 00:00:01.071948
svm,scenario_A,front-end,100,user-db_energy,2024-08-16 11:14:02.140657,2024-08-16 11:14:03.521101,0.0,502.25,0 days 00:00:01.380444
BIRCH,scenario_A,front-end,1000,carts_energy,2024-08-16 11:14:04.515018,2024-08-16 11:14:05.556653,0.0,503.72265625,0 days 00:00:01.041635
iforest,scenario_A,front-end,1000,carts_energy,2024-08-16 11:14:05.816874,2024-08-16 11:14:06.901730,0.0,505.609375,0 days 00:00:01.084856
knn,scenario_A,front-end,1000,carts_energy,2024-08-16 11:14:07.065295,2024-08-16 11:14:08.284451,0.0,505.19140625,0 days 00:00:01.219156
lof,scenario_A,front-end,1000,carts_energy,2024-08-16 11:14:08.470797,2024-08-16 11:14:09.612984,0.0,506.57421875,0 days 00:00:01.142187
svm,scenario_A,front-end,1000,carts_energy,2024-08-16 11:14:09.917421,2024-08-16 11:14:11.334399,0.0,507.6484375,0 days 00:00:01.416978
BIRCH,scenario_A,front-end,1000,carts-db_energy,2024-08-16 11:14:11.334399,2024-08-16 11:14:12.379648,0.0,507.6484375,0 days 00:00:01.045249
iforest,scenario_A,front-end,1000,carts-db_energy,2024-08-16 11:14:12.793339,2024-08-16 11:14:13.934664,0.0,507.91796875,0 days 00:00:01.141325
knn,scenario_A,front-end,1000,carts-db_energy,2024-08-16 11:14:14.259220,2024-08-16 11:14:15.508539,0.0,507.08984375,0 days 00:00:01.249319
lof,scenario_A,front-end,1000,carts-db_energy,2024-08-16 11:14:15.824529,2024-08-16 11:14:16.894330,0.0,507.24609375,0 days 00:00:01.069801
svm,scenario_A,front-end,1000,carts-db_energy,2024-08-16 11:14:17.072934,2024-08-16 11:14:18.573755,0.0,506.97265625,0 days 00:00:01.500821
BIRCH,scenario_A,front-end,1000,catalogue_energy,2024-08-16 11:14:18.576758,2024-08-16 11:14:19.603621,0.0,506.97265625,0 days 00:00:01.026863
iforest,scenario_A,front-end,1000,catalogue_energy,2024-08-16 11:14:19.803103,2024-08-16 11:14:21.012491,0.0,508.69140625,0 days 00:00:01.209388
knn,scenario_A,front-end,1000,catalogue_energy,2024-08-16 11:14:21.340351,2024-08-16 11:14:22.523197,0.0,507.25,0 days 00:00:01.182846
lof,scenario_A,front-end,1000,catalogue_energy,2024-08-16 11:14:22.830191,2024-08-16 11:14:23.951011,0.0,507.53125,0 days 00:00:01.120820
svm,scenario_A,front-end,1000,catalogue_energy,2024-08-16 11:14:24.337077,2024-08-16 11:14:25.880615,0.0,507.25,0 days 00:00:01.543538
BIRCH,scenario_A,front-end,1000,catalogue-db_energy,2024-08-16 11:14:25.880615,2024-08-16 11:14:26.928502,0.0,507.25,0 days 00:00:01.047887
iforest,scenario_A,front-end,1000,catalogue-db_energy,2024-08-16 11:14:27.320391,2024-08-16 11:14:28.416307,0.0,508.46484375,0 days 00:00:01.095916
knn,scenario_A,front-end,1000,catalogue-db_energy,2024-08-16 11:14:28.582427,2024-08-16 11:14:29.827375,0.0,507.01171875,0 days 00:00:01.244948
lof,scenario_A,front-end,1000,catalogue-db_energy,2024-08-16 11:14:30.023514,2024-08-16 11:14:31.112641,0.0,507.29296875,0 days 00:00:01.089127
svm,scenario_A,front-end,1000,catalogue-db_energy,2024-08-16 11:14:31.301371,2024-08-16 11:14:32.687690,0.0,507.078125,0 days 00:00:01.386319
BIRCH,scenario_A,front-end,1000,front-end_energy,2024-08-16 11:14:32.709399,2024-08-16 11:14:33.742828,0.0,507.078125,0 days 00:00:01.033429
iforest,scenario_A,front-end,1000,front-end_energy,2024-08-16 11:14:33.964628,2024-08-16 11:14:35.052525,0.0,508.16796875,0 days 00:00:01.087897
knn,scenario_A,front-end,1000,front-end_energy,2024-08-16 11:14:35.257522,2024-08-16 11:14:36.423270,0.0,507.2109375,0 days 00:00:01.165748
lof,scenario_A,front-end,1000,front-end_energy,2024-08-16 11:14:36.753063,2024-08-16 11:14:37.828039,0.0,507.4921875,0 days 00:00:01.074976
svm,scenario_A,front-end,1000,front-end_energy,2024-08-16 11:14:38.007244,2024-08-16 11:14:39.452037,0.0,507.22265625,0 days 00:00:01.444793
BIRCH,scenario_A,front-end,1000,orders_energy,2024-08-16 11:14:39.452037,2024-08-16 11:14:40.486647,0.0,507.22265625,0 days 00:00:01.034610
iforest,scenario_A,front-end,1000,orders_energy,2024-08-16 11:14:40.669666,2024-08-16 11:14:41.781525,0.0,508.84765625,0 days 00:00:01.111859
knn,scenario_A,front-end,1000,orders_energy,2024-08-16 11:14:42.093794,2024-08-16 11:14:43.286428,0.0,507.3515625,0 days 00:00:01.192634
lof,scenario_A,front-end,1000,orders_energy,2024-08-16 11:14:43.536215,2024-08-16 11:14:44.634248,0.0,507.6328125,0 days 00:00:01.098033
svm,scenario_A,front-end,1000,orders_energy,2024-08-16 11:14:44.879924,2024-08-16 11:14:46.345707,0.0,507.3515625,0 days 00:00:01.465783
BIRCH,scenario_A,front-end,1000,orders-db_energy,2024-08-16 11:14:46.345707,2024-08-16 11:14:47.378270,0.0,507.3515625,0 days 00:00:01.032563
iforest,scenario_A,front-end,1000,orders-db_energy,2024-08-16 11:14:47.675242,2024-08-16 11:14:48.794126,0.0,508.59765625,0 days 00:00:01.118884
knn,scenario_A,front-end,1000,orders-db_energy,2024-08-16 11:14:48.985234,2024-08-16 11:14:50.211565,0.0,507.21875,0 days 00:00:01.226331
lof,scenario_A,front-end,1000,orders-db_energy,2024-08-16 11:14:50.692619,2024-08-16 11:14:51.900198,0.0,507.5,0 days 00:00:01.207579
svm,scenario_A,front-end,1000,orders-db_energy,2024-08-16 11:14:52.290313,2024-08-16 11:14:53.894043,1.5,507.23046875,0 days 00:00:01.603730
BIRCH,scenario_A,front-end,1000,payment_energy,2024-08-16 11:14:53.894043,2024-08-16 11:14:54.926602,0.0,507.23046875,0 days 00:00:01.032559
iforest,scenario_A,front-end,1000,payment_energy,2024-08-16 11:14:55.117631,2024-08-16 11:14:56.258207,0.0,508.34375,0 days 00:00:01.140576
knn,scenario_A,front-end,1000,payment_energy,2024-08-16 11:14:56.456419,2024-08-16 11:14:57.664037,0.0,506.98828125,0 days 00:00:01.207618
lof,scenario_A,front-end,1000,payment_energy,2024-08-16 11:14:57.837626,2024-08-16 11:14:58.910084,0.0,507.26953125,0 days 00:00:01.072458
svm,scenario_A,front-end,1000,payment_energy,2024-08-16 11:14:59.199507,2024-08-16 11:15:00.660378,0.0,506.98828125,0 days 00:00:01.460871
BIRCH,scenario_A,front-end,1000,queue-master_energy,2024-08-16 11:15:00.660378,2024-08-16 11:15:01.726666,0.0,506.98828125,0 days 00:00:01.066288
iforest,scenario_A,front-end,1000,queue-master_energy,2024-08-16 11:15:01.986388,2024-08-16 11:15:03.096868,0.0,508.43359375,0 days 00:00:01.110480
knn,scenario_A,front-end,1000,queue-master_energy,2024-08-16 11:15:03.319340,2024-08-16 11:15:04.496294,0.0,507.43359375,0 days 00:00:01.176954
lof,scenario_A,front-end,1000,queue-master_energy,2024-08-16 11:15:04.688903,2024-08-16 11:15:05.759427,0.0,507.71484375,0 days 00:00:01.070524
svm,scenario_A,front-end,1000,queue-master_energy,2024-08-16 11:15:06.049081,2024-08-16 11:15:07.412071,0.0,507.51953125,0 days 00:00:01.362990
BIRCH,scenario_A,front-end,1000,rabbitmq_energy,2024-08-16 11:15:07.414078,2024-08-16 11:15:08.440900,0.0,507.51953125,0 days 00:00:01.026822
iforest,scenario_A,front-end,1000,rabbitmq_energy,2024-08-16 11:15:08.658323,2024-08-16 11:15:09.762993,0.0,508.8828125,0 days 00:00:01.104670
knn,scenario_A,front-end,1000,rabbitmq_energy,2024-08-16 11:15:09.956418,2024-08-16 11:15:11.316329,0.0,507.37890625,0 days 00:00:01.359911
lof,scenario_A,front-end,1000,rabbitmq_energy,2024-08-16 11:15:11.768251,2024-08-16 11:15:12.870706,0.0,507.66015625,0 days 00:00:01.102455
svm,scenario_A,front-end,1000,rabbitmq_energy,2024-08-16 11:15:13.086878,2024-08-16 11:15:14.596428,0.0,507.37890625,0 days 00:00:01.509550
BIRCH,scenario_A,front-end,1000,shipping_energy,2024-08-16 11:15:14.599868,2024-08-16 11:15:15.622670,0.0,507.37890625,0 days 00:00:01.022802
iforest,scenario_A,front-end,1000,shipping_energy,2024-08-16 11:15:15.820445,2024-08-16 11:15:17.008111,1.5,508.296875,0 days 00:00:01.187666
knn,scenario_A,front-end,1000,shipping_energy,2024-08-16 11:15:17.220969,2024-08-16 11:15:18.401528,1.6,507.2734375,0 days 00:00:01.180559
lof,scenario_A,front-end,1000,shipping_energy,2024-08-16 11:15:18.764903,2024-08-16 11:15:19.840485,1.6,507.55859375,0 days 00:00:01.075582
svm,scenario_A,front-end,1000,shipping_energy,2024-08-16 11:15:20.022026,2024-08-16 11:15:21.533068,0.0,507.28125,0 days 00:00:01.511042
BIRCH,scenario_A,front-end,1000,user_energy,2024-08-16 11:15:21.533068,2024-08-16 11:15:22.565000,0.0,507.28125,0 days 00:00:01.031932
iforest,scenario_A,front-end,1000,user_energy,2024-08-16 11:15:22.780877,2024-08-16 11:15:23.873747,0.0,508.546875,0 days 00:00:01.092870
knn,scenario_A,front-end,1000,user_energy,2024-08-16 11:15:24.063129,2024-08-16 11:15:25.393721,0.0,507.4296875,0 days 00:00:01.330592
lof,scenario_A,front-end,1000,user_energy,2024-08-16 11:15:25.579981,2024-08-16 11:15:26.658498,0.0,507.5859375,0 days 00:00:01.078517
svm,scenario_A,front-end,1000,user_energy,2024-08-16 11:15:27.024393,2024-08-16 11:15:28.461701,0.0,507.3046875,0 days 00:00:01.437308
BIRCH,scenario_A,front-end,1000,user-db_energy,2024-08-16 11:15:28.473075,2024-08-16 11:15:29.507146,0.0,507.3046875,0 days 00:00:01.034071
iforest,scenario_A,front-end,1000,user-db_energy,2024-08-16 11:15:29.817286,2024-08-16 11:15:30.926382,0.0,508.36328125,0 days 00:00:01.109096
knn,scenario_A,front-end,1000,user-db_energy,2024-08-16 11:15:31.094947,2024-08-16 11:15:32.321845,0.0,507.26953125,0 days 00:00:01.226898
lof,scenario_A,front-end,1000,user-db_energy,2024-08-16 11:15:32.483085,2024-08-16 11:15:33.564565,0.0,507.55078125,0 days 00:00:01.081480
svm,scenario_A,front-end,1000,user-db_energy,2024-08-16 11:15:33.763243,2024-08-16 11:15:35.218742,0.0,507.26953125,0 days 00:00:01.455499
BIRCH,scenario_A,orders,100,carts_energy,2024-08-16 11:15:35.913121,2024-08-16 11:15:36.955316,1.5,504.19140625,0 days 00:00:01.042195
iforest,scenario_A,orders,100,carts_energy,2024-08-16 11:15:37.189190,2024-08-16 11:15:38.379491,0.0,505.47265625,0 days 00:00:01.190301
knn,scenario_A,orders,100,carts_energy,2024-08-16 11:15:38.664809,2024-08-16 11:15:39.826596,0.0,504.96875,0 days 00:00:01.161787
lof,scenario_A,orders,100,carts_energy,2024-08-16 11:15:39.977732,2024-08-16 11:15:41.041870,0.0,506.3671875,0 days 00:00:01.064138
svm,scenario_A,orders,100,carts_energy,2024-08-16 11:15:41.190776,2024-08-16 11:15:42.588268,0.0,507.4453125,0 days 00:00:01.397492
BIRCH,scenario_A,orders,100,carts-db_energy,2024-08-16 11:15:42.588268,2024-08-16 11:15:43.609419,0.0,507.4453125,0 days 00:00:01.021151
iforest,scenario_A,orders,100,carts-db_energy,2024-08-16 11:15:43.795357,2024-08-16 11:15:44.873066,0.0,508.69921875,0 days 00:00:01.077709
knn,scenario_A,orders,100,carts-db_energy,2024-08-16 11:15:45.175819,2024-08-16 11:15:46.342082,1.6,507.5234375,0 days 00:00:01.166263
lof,scenario_A,orders,100,carts-db_energy,2024-08-16 11:15:46.655617,2024-08-16 11:15:47.738113,0.0,507.8046875,0 days 00:00:01.082496
svm,scenario_A,orders,100,carts-db_energy,2024-08-16 11:15:47.891289,2024-08-16 11:15:49.335938,0.0,507.53125,0 days 00:00:01.444649
BIRCH,scenario_A,orders,100,catalogue_energy,2024-08-16 11:15:49.338798,2024-08-16 11:15:50.369385,0.0,507.53125,0 days 00:00:01.030587
iforest,scenario_A,orders,100,catalogue_energy,2024-08-16 11:15:50.602350,2024-08-16 11:15:51.700816,0.0,508.75390625,0 days 00:00:01.098466
knn,scenario_A,orders,100,catalogue_energy,2024-08-16 11:15:51.873654,2024-08-16 11:15:53.183674,1.6,507.3671875,0 days 00:00:01.310020
lof,scenario_A,orders,100,catalogue_energy,2024-08-16 11:15:53.365805,2024-08-16 11:15:54.452897,0.0,507.6484375,0 days 00:00:01.087092
svm,scenario_A,orders,100,catalogue_energy,2024-08-16 11:15:54.716209,2024-08-16 11:15:56.057997,0.0,507.3671875,0 days 00:00:01.341788
BIRCH,scenario_A,orders,100,catalogue-db_energy,2024-08-16 11:15:56.060729,2024-08-16 11:15:57.099504,0.0,507.3671875,0 days 00:00:01.038775
iforest,scenario_A,orders,100,catalogue-db_energy,2024-08-16 11:15:57.332636,2024-08-16 11:15:58.429132,0.0,509.11328125,0 days 00:00:01.096496
knn,scenario_A,orders,100,catalogue-db_energy,2024-08-16 11:15:58.629669,2024-08-16 11:16:00.002051,0.0,507.92578125,0 days 00:00:01.372382
lof,scenario_A,orders,100,catalogue-db_energy,2024-08-16 11:16:00.328764,2024-08-16 11:16:01.411036,0.0,508.20703125,0 days 00:00:01.082272
svm,scenario_A,orders,100,catalogue-db_energy,2024-08-16 11:16:01.696840,2024-08-16 11:16:03.340360,0.0,507.9296875,0 days 00:00:01.643520
BIRCH,scenario_A,orders,100,front-end_energy,2024-08-16 11:16:03.340360,2024-08-16 11:16:04.371755,0.0,507.9296875,0 days 00:00:01.031395
iforest,scenario_A,orders,100,front-end_energy,2024-08-16 11:16:04.608441,2024-08-16 11:16:05.703751,0.0,509.08203125,0 days 00:00:01.095310
knn,scenario_A,orders,100,front-end_energy,2024-08-16 11:16:05.854325,2024-08-16 11:16:07.111254,0.0,507.734375,0 days 00:00:01.256929
lof,scenario_A,orders,100,front-end_energy,2024-08-16 11:16:07.319591,2024-08-16 11:16:08.390069,0.0,508.01953125,0 days 00:00:01.070478
svm,scenario_A,orders,100,front-end_energy,2024-08-16 11:16:08.703633,2024-08-16 11:16:10.033998,0.0,507.80859375,0 days 00:00:01.330365
BIRCH,scenario_A,orders,100,orders_energy,2024-08-16 11:16:10.033998,2024-08-16 11:16:11.081725,0.0,507.80859375,0 days 00:00:01.047727
iforest,scenario_A,orders,100,orders_energy,2024-08-16 11:16:11.428109,2024-08-16 11:16:12.499426,0.0,509.0,0 days 00:00:01.071317
knn,scenario_A,orders,100,orders_energy,2024-08-16 11:16:12.699082,2024-08-16 11:16:13.844444,1.5,507.55078125,0 days 00:00:01.145362
lof,scenario_A,orders,100,orders_energy,2024-08-16 11:16:14.032521,2024-08-16 11:16:15.116182,0.0,507.8359375,0 days 00:00:01.083661
svm,scenario_A,orders,100,orders_energy,2024-08-16 11:16:15.499296,2024-08-16 11:16:16.861042,0.0,507.703125,0 days 00:00:01.361746
BIRCH,scenario_A,orders,100,orders-db_energy,2024-08-16 11:16:16.865022,2024-08-16 11:16:17.910767,0.0,507.703125,0 days 00:00:01.045745
iforest,scenario_A,orders,100,orders-db_energy,2024-08-16 11:16:18.446162,2024-08-16 11:16:19.528030,0.0,509.01171875,0 days 00:00:01.081868
knn,scenario_A,orders,100,orders-db_energy,2024-08-16 11:16:19.695548,2024-08-16 11:16:21.060024,0.0,507.55078125,0 days 00:00:01.364476
lof,scenario_A,orders,100,orders-db_energy,2024-08-16 11:16:21.351246,2024-08-16 11:16:22.425095,0.0,507.70703125,0 days 00:00:01.073849
svm,scenario_A,orders,100,orders-db_energy,2024-08-16 11:16:22.738926,2024-08-16 11:16:24.038285,0.0,507.42578125,0 days 00:00:01.299359
BIRCH,scenario_A,orders,100,payment_energy,2024-08-16 11:16:24.038285,2024-08-16 11:16:25.122316,0.0,507.42578125,0 days 00:00:01.084031
iforest,scenario_A,orders,100,payment_energy,2024-08-16 11:16:25.502733,2024-08-16 11:16:26.618909,0.0,508.78515625,0 days 00:00:01.116176
knn,scenario_A,orders,100,payment_energy,2024-08-16 11:16:26.772692,2024-08-16 11:16:28.018563,1.6,507.5625,0 days 00:00:01.245871
lof,scenario_A,orders,100,payment_energy,2024-08-16 11:16:28.257561,2024-08-16 11:16:29.340198,1.5,507.87109375,0 days 00:00:01.082637
svm,scenario_A,orders,100,payment_energy,2024-08-16 11:16:29.468763,2024-08-16 11:16:30.790310,0.0,507.58984375,0 days 00:00:01.321547
BIRCH,scenario_A,orders,100,queue-master_energy,2024-08-16 11:16:30.805957,2024-08-16 11:16:31.866049,0.0,507.58984375,0 days 00:00:01.060092
iforest,scenario_A,orders,100,queue-master_energy,2024-08-16 11:16:32.217189,2024-08-16 11:16:33.328557,0.0,508.41015625,0 days 00:00:01.111368
knn,scenario_A,orders,100,queue-master_energy,2024-08-16 11:16:33.514784,2024-08-16 11:16:34.903953,1.6,507.5390625,0 days 00:00:01.389169
lof,scenario_A,orders,100,queue-master_energy,2024-08-16 11:16:35.118068,2024-08-16 11:16:36.253852,0.0,507.75,0 days 00:00:01.135784
svm,scenario_A,orders,100,queue-master_energy,2024-08-16 11:16:36.636671,2024-08-16 11:16:38.084143,0.0,507.46875,0 days 00:00:01.447472
BIRCH,scenario_A,orders,100,rabbitmq_energy,2024-08-16 11:16:38.084143,2024-08-16 11:16:39.119843,0.0,507.46875,0 days 00:00:01.035700
iforest,scenario_A,orders,100,rabbitmq_energy,2024-08-16 11:16:39.315989,2024-08-16 11:16:40.425764,0.0,508.90234375,0 days 00:00:01.109775
knn,scenario_A,orders,100,rabbitmq_energy,2024-08-16 11:16:40.742922,2024-08-16 11:16:41.887479,0.0,507.328125,0 days 00:00:01.144557
