algorithm,scenario,service,users,column,start_time,end_time,avg_cpu_usage,avg_memory_usage,execution_time
svm,scenario_A,ts-order-service,100,ts-assurance-service_energy,2024-08-28 15:14:19.180059,2024-08-28 15:14:20.512422,0.0,725.796875,0 days 00:00:01.332363
BIRCH,scenario_A,ts-order-service,100,ts-auth-mongo_energy,2024-08-28 15:14:20.529583,2024-08-28 15:14:21.558315,0.0,725.80078125,0 days 00:00:01.028732
iforest,scenario_A,ts-order-service,100,ts-auth-mongo_energy,2024-08-28 15:14:22.074611,2024-08-28 15:14:23.178320,0.0,728.5,0 days 00:00:01.103709
knn,scenario_A,ts-order-service,100,ts-auth-mongo_energy,2024-08-28 15:14:23.853987,2024-08-28 15:14:25.011963,0.0,725.66796875,0 days 00:00:01.157976
lof,scenario_A,ts-order-service,100,ts-auth-mongo_energy,2024-08-28 15:14:25.506634,2024-08-28 15:14:26.587242,0.0,726.12109375,0 days 00:00:01.080608
svm,scenario_A,ts-order-service,100,ts-auth-mongo_energy,2024-08-28 15:14:27.024731,2024-08-28 15:14:28.303622,0.0,725.75390625,0 days 00:00:01.278891
BIRCH,scenario_A,ts-order-service,100,ts-auth-service_energy,2024-08-28 15:14:28.303622,2024-08-28 15:14:29.352532,0.0,725.7578125,0 days 00:00:01.048910
iforest,scenario_A,ts-order-service,100,ts-auth-service_energy,2024-08-28 15:14:29.852289,2024-08-28 15:14:30.951375,0.0,727.91015625,0 days 00:00:01.099086
knn,scenario_A,ts-order-service,100,ts-auth-service_energy,2024-08-28 15:14:31.401227,2024-08-28 15:14:32.572945,0.0,725.37890625,0 days 00:00:01.171718
lof,scenario_A,ts-order-service,100,ts-auth-service_energy,2024-08-28 15:14:33.051366,2024-08-28 15:14:34.168012,1.6,725.83984375,0 days 00:00:01.116646
svm,scenario_A,ts-order-service,100,ts-auth-service_energy,2024-08-28 15:14:34.926120,2024-08-28 15:14:36.233734,1.6,725.47265625,0 days 00:00:01.307614
BIRCH,scenario_A,ts-order-service,100,ts-avatar-service_energy,2024-08-28 15:14:36.246615,2024-08-28 15:14:37.281268,0.0,725.47265625,0 days 00:00:01.034653
iforest,scenario_A,ts-order-service,100,ts-avatar-service_energy,2024-08-28 15:14:37.913481,2024-08-28 15:14:38.997175,0.0,726.984375,0 days 00:00:01.083694
knn,scenario_A,ts-order-service,100,ts-avatar-service_energy,2024-08-28 15:14:39.477018,2024-08-28 15:14:40.642502,0.0,725.828125,0 days 00:00:01.165484
lof,scenario_A,ts-order-service,100,ts-avatar-service_energy,2024-08-28 15:14:41.091852,2024-08-28 15:14:42.162536,0.0,726.140625,0 days 00:00:01.070684
svm,scenario_A,ts-order-service,100,ts-avatar-service_energy,2024-08-28 15:14:42.623853,2024-08-28 15:14:44.011618,0.0,725.77734375,0 days 00:00:01.387765
BIRCH,scenario_A,ts-order-service,100,ts-basic-service_energy,2024-08-28 15:14:44.011618,2024-08-28 15:14:45.054703,0.0,725.77734375,0 days 00:00:01.043085
iforest,scenario_A,ts-order-service,100,ts-basic-service_energy,2024-08-28 15:14:45.537346,2024-08-28 15:14:46.636596,0.0,727.921875,0 days 00:00:01.099250
knn,scenario_A,ts-order-service,100,ts-basic-service_energy,2024-08-28 15:14:47.353312,2024-08-28 15:14:48.519454,0.0,726.1171875,0 days 00:00:01.166142
lof,scenario_A,ts-order-service,100,ts-basic-service_energy,2024-08-28 15:14:49.034233,2024-08-28 15:14:50.119192,0.0,726.54296875,0 days 00:00:01.084959
svm,scenario_A,ts-order-service,100,ts-basic-service_energy,2024-08-28 15:14:50.582858,2024-08-28 15:14:51.903079,0.0,726.171875,0 days 00:00:01.320221
BIRCH,scenario_A,ts-order-service,100,ts-cancel-service_energy,2024-08-28 15:14:51.903079,2024-08-28 15:14:52.947280,0.0,726.171875,0 days 00:00:01.044201
iforest,scenario_A,ts-order-service,100,ts-cancel-service_energy,2024-08-28 15:14:53.446912,2024-08-28 15:14:54.529227,0.0,728.3984375,0 days 00:00:01.082315
knn,scenario_A,ts-order-service,100,ts-cancel-service_energy,2024-08-28 15:14:55.012299,2024-08-28 15:14:56.177641,1.6,726.640625,0 days 00:00:01.165342
lof,scenario_A,ts-order-service,100,ts-cancel-service_energy,2024-08-28 15:14:56.694972,2024-08-28 15:14:57.772144,0.0,726.94140625,0 days 00:00:01.077172
svm,scenario_A,ts-order-service,100,ts-cancel-service_energy,2024-08-28 15:14:58.192453,2024-08-28 15:14:59.525666,0.0,726.5390625,0 days 00:00:01.333213
BIRCH,scenario_A,ts-order-service,100,ts-config-mongo_energy,2024-08-28 15:14:59.525666,2024-08-28 15:15:00.556697,0.0,726.55078125,0 days 00:00:01.031031
iforest,scenario_A,ts-order-service,100,ts-config-mongo_energy,2024-08-28 15:15:01.272821,2024-08-28 15:15:02.372078,0.0,728.59765625,0 days 00:00:01.099257
knn,scenario_A,ts-order-service,100,ts-config-mongo_energy,2024-08-28 15:15:02.905771,2024-08-28 15:15:04.053755,0.0,726.58203125,0 days 00:00:01.147984
lof,scenario_A,ts-order-service,100,ts-config-mongo_energy,2024-08-28 15:15:04.520049,2024-08-28 15:15:05.590512,0.0,727.01953125,0 days 00:00:01.070463
svm,scenario_A,ts-order-service,100,ts-config-mongo_energy,2024-08-28 15:15:06.068773,2024-08-28 15:15:07.420754,0.0,726.66796875,0 days 00:00:01.351981
BIRCH,scenario_A,ts-order-service,100,ts-config-service_energy,2024-08-28 15:15:07.423754,2024-08-28 15:15:08.457295,0.0,726.7421875,0 days 00:00:01.033541
iforest,scenario_A,ts-order-service,100,ts-config-service_energy,2024-08-28 15:15:08.999244,2024-08-28 15:15:10.098027,0.0,728.65234375,0 days 00:00:01.098783
knn,scenario_A,ts-order-service,100,ts-config-service_energy,2024-08-28 15:15:10.547997,2024-08-28 15:15:11.696707,0.0,726.54296875,0 days 00:00:01.148710
lof,scenario_A,ts-order-service,100,ts-config-service_energy,2024-08-28 15:15:12.160914,2024-08-28 15:15:13.235615,1.6,726.74609375,0 days 00:00:01.074701
svm,scenario_A,ts-order-service,100,ts-config-service_energy,2024-08-28 15:15:13.964779,2024-08-28 15:15:15.329539,0.0,726.79296875,0 days 00:00:01.364760
BIRCH,scenario_A,ts-order-service,100,ts-consign-mongo_energy,2024-08-28 15:15:15.329539,2024-08-28 15:15:16.375664,0.0,726.796875,0 days 00:00:01.046125
iforest,scenario_A,ts-order-service,100,ts-consign-mongo_energy,2024-08-28 15:15:16.858207,2024-08-28 15:15:17.944210,0.0,728.80859375,0 days 00:00:01.086003
knn,scenario_A,ts-order-service,100,ts-consign-mongo_energy,2024-08-28 15:15:18.489200,2024-08-28 15:15:19.642523,0.0,727.26171875,0 days 00:00:01.153323
