Model,Level,Scenario,Service,Users,Metric,Value
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@1,0.0
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.5
