Algorithm,Level,Scenario,Service,Users,Metric,Value
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.5
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.538
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.191
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.392
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.593
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.546
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.645
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.252
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.243
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.333
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.183
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.445
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.4
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.667
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.715
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.207
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.414
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.5
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.869
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.667
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.349
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.727
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.117
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.589
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.64
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.5
BIRCH,high,scenario_A,ts-order-service,100,F-Score,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.207
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.189
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.067
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.133
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.8
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.149
